Name,Degree,Specialization,Experience,Location,City,Recommendation,Feedback,Fees
Ms. Shilpa Thakur,Post Graduation Diploma in Dietetics and Public Health Nutrition,Dietitian/Nutritionist,26 years experience overall,"Greater Kailash Part 1,",Delhi,100%,1 Patient Story,₹500
Ms. Umang Behl,"MBBS, DM - Gastroenterology",Dietitian/Nutritionist,7 years experience overall,"Shalimar Bagh,",Delhi,97%,53 Patient Stories,₹450
Dr. Saroj Dubey,"MBBS, MD - General Medicine, DM - Gastroenterology",Gastroenterologist,26 years experience overall,"Surajmal Vihar,",Delhi,96%,26 Patient Stories,₹800
Dr. Shanti Swaroop Dhar,"MBBS, MD - Medicine, DM - Hepatology",Gastroenterologist,22 years experience overall,"Panchsheel Park,",Delhi,92%,11 Patient Stories,₹1500
Dr. Amrish Sahney,"MBBS, DM - Pediatric Gastroenterology",,15 years experience overall,"Pusa Road,",Delhi,100%,1 Patient Story,₹1000
Dr. Mridul Chandra Das,"MBBS,  FRCP, CCST - Gastroenterology",Gastroenterologist,8 years experience overall,"Malviya Nagar,",Delhi,80%,3 Patient Stories,₹1600
Dr. Amitabha Dutta,"MBBS, MD - General Medicine, DM - Gastroenterology",Gastroenterologist,42 years experience overall,"Sarita Vihar,",Delhi,100%,4 Patient Stories,₹1500
Dr. Rubal Gupta,"MBBS, MD - General Medicine, MRCP (UK), FRCP - Gastroenterology, FRCP - Gastroenterology",Gastroenterologist,22 years experience overall,"Panchsheel Park,",Delhi,100%,2 Patient Stories,₹1200
Dr. Sanjay Jain,"MBBS, MD - Medicine, DM - Gastroenterology",Gastroenterologist,46 years experience overall,"Sarita Vihar,",Delhi,75%,1 Patient Story,₹1500
Dr. Sudeep Khanna,"MBBS, MD - General Medicine, DM - Gastroenterology",Gastroenterologist,30 years experience overall,"Sarita Vihar,",Delhi,89%,12 Patient Stories,₹1500
Dr. Kunal Das,"MBBS, MD - Medicine, DM - Gastroenterology",Gastroenterologist,26 years experience overall,"Dwarka Sector 6,",Delhi,83%,66 Patient Stories,₹1100
Dr. Vibhu V Mittal,"MBBS, MD - Medicine, Diplomate of American Board of Psychiatry and Neurology",Gastroenterologist,20 years experience overall,"Patparganj,",Delhi,87%,69 Patient Stories,₹1000
Dr. Rakesh Agrawal,"MBBS, MD - General Medicine, DNB - Neurology",Neurologist,42 years experience overall,"Sarita Vihar,",Delhi,100%,5 Patient Stories,₹2000
Dr. Charu Gauba,"MBBS, MD - Medicine, DNB - General Medicine, MD - Neurology (USA)",Neurologist,30 years experience overall,"Sarita Vihar,",Delhi,100%,7 Patient Stories,₹1500
Dr. Mukesh Kumar,"DM - Neurology, MD - Pediatrics, MD - Pathology, MBBS",Neurologist,20 years experience overall,"Panchsheel Park,",Delhi,100%,2 Patient Stories,₹1400
Dr. Bhaskar Shukla,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurologist,5 years experience overall,"Green Park,",Delhi,100%,19 Patient Stories,₹1200
Dr. Chander Mohan Malhotra,"DM - Neurology, MBBS, MD - General Medicine",Neurologist,31 years experience overall,"Sarita Vihar,",Delhi,100%,1 Patient Story,₹1500
Dr. L K Malhotra,"MBBS, DNB - Neurology, DNB - General Medicine",Neurologist,36 years experience overall,"Sheikh Sarai,",Delhi,96%,40 Patient Stories,₹1800
Dr. Rima khanna,"MBBS, MD - General Medicine, DM - Neurology",Neurologist,14 years experience overall,"Shalimar Bagh,",Delhi,40%,16 Patient Stories,₹1000
Dr. Vipin Satija,"MBBS, MD - General Medicine, DNB - Neurology",Neurologist,16 years experience overall,"Ashok Vihar,",Delhi,99%,149 Patient Stories,₹1000
Dr. Rajat Chopra,"MBBS, DNB - Neurosurgery",Neurologist,10 years experience overall,"Shalimar Bagh,",Delhi,94%,12 Patient Stories,₹1000
Dr. Rohit Bansil,"MBBS, DNB - Neurosurgery",Neurologist,14 years experience overall,"Pusa Road,",Delhi,,,₹1500
Dr. Aditya Singh Bhati,"MBBS, MCh - Neuro Surgery",Neurosurgeon,18 years experience overall,"Vasant Kunj,",Delhi,88%,5 Patient Stories,₹1000
Dr. S K Sogani,"MBBS, MCh - Neuro Surgery",Neurosurgeon,45 years experience overall,"Sarita Vihar,",Delhi,83%,4 Patient Stories,₹2000
Dr. Rakesh Kumar Dua,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,44 years experience overall,"Shalimar Bagh,",Delhi,75%,5 Patient Stories,₹1200
Dr. Chander Mohan Malhotra,"MBBS, MS - General Surgery, DNB - Neurosurgery",Neurosurgeon,31 years experience overall,"Sarita Vihar,",Delhi,100%,1 Patient Story,₹1500
Dr. Deepak Varshney,"MCh - Neuro Surgery, MS - General Surgery, MBBS",Neurosurgeon,17 years experience overall,"Tuglakabad,",Delhi,100%,,₹700
Dr. Girish Rajpal,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,15 years experience overall,"Patparganj,",Delhi,,,₹1000
Dr. Manish Bummerkar,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,29 years experience overall,"Pandav Nagar,",Delhi,,,₹800
Dr. Anil Dhar,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,16 years experience overall,"Patparganj,",Delhi,,,₹700
Dr. Rahul Gupta,"MS - General Surgery, MCh - Neuro Surgery",Neurosurgeon,26 years experience overall,"Okhla,",Delhi,75%,6 Patient Stories,₹1500
Dr. Vikrant Katiyar,"MBBS, DNB - Respiratory Diseases, MD - General Medicine",Neurosurgeon,8 years experience overall,"Patparganj,",Delhi,,,₹800
Dr. Sanjay Sobti,"MBBS, MD - TB & Chest",Pulmonologist,26 years experience overall,"Sarita Vihar,",Delhi,50%,2 Patient Stories,₹1500
Dr. Sandeep Nayar,"MBBS, DNB - Respiratory Diseases",Pulmonologist,31 years experience overall,"Pusa Road,",Delhi,60%,18 Patient Stories,₹1500
Dr. Ritu Malani,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",Pulmonologist,22 years experience overall,"Panchsheel Park,",Delhi,100%,8 Patient Stories,₹1100
Dr. Vikas Mittal,"Diploma in Tuberculosis and Chest Diseases (DTCD), MBBS",Pulmonologist,21 years experience overall,"Shalimar Bagh,",Delhi,96%,45 Patient Stories,₹800
Dr. Priyanka Ch Bindroo,"MBBS, MD - TB & Chest",Pulmonologist,19 years experience overall,"Uttam Nagar,",Delhi,100%,1 Patient Story,₹1000
Dr. Prashant Saxena,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",Pulmonologist,22 years experience overall,"Saket,",Delhi,81%,24 Patient Stories,₹1400
Dr. Puneet Khanna,"MBBS, MD - Tuberculosis and Chest Diseases",Pulmonologist,21 years experience overall,"Dwarka Sector 6,",Delhi,97%,12 Patient Stories,₹1100
Dr. Chetan Kumar Gupta,"MBBS, DNB - Respiratory Diseases",Pulmonologist,23 years experience overall,"Chattarpur,",Delhi,55%,13 Patient Stories,₹800
Dr. Sunny Kalra,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",Pulmonologist,17 years experience overall,"Pusa Road,",Delhi,,,₹1300
Dr. M.S. Kanwar,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, MCh - Surgical Oncology",Pulmonologist,48 years experience overall,"Sarita Vihar,",Delhi,50%,6 Patient Stories,₹2000
Dr. Pradeep Jain,"MBBS, MS - General Surgery",Bariatric Surgeon,36 years experience overall,"Shalimar Bagh,",Delhi,83%,25 Patient Stories,₹1500
Dr. Mohit Jain,"MBBS, MS - General Surgery",Bariatric Surgeon,22 years experience overall,"Pusa Road,",Delhi,97%,19 Patient Stories,₹1800
Dr. Arush Sabharwal,"MBBS, DNB - General Surgery, MNAMS - General Surgery",Bariatric Surgeon,13 years experience overall,"Karol Bagh,",Delhi,100%,1 Patient Story,₹850
Dr. Sandip Banerjee,"MBBS, MS - General Surgery",Bariatric Surgeon,19 years experience overall,"Nehru Place,",Delhi,100%,8 Patient Stories,₹1000
Dr. Pradeep K Dewan,"MBBS, MS - General Surgery",Bariatric Surgeon,42 years experience overall,"Patparganj,",Delhi,80%,3 Patient Stories,₹800
Dr. Muneendra Gupta,"MBBS, MS - General Surgery",Bariatric Surgeon,46 years experience overall,"Vasant Kunj,",Delhi,85%,19 Patient Stories,₹1500
Dr. Aloy J Mukherjee,"MBBS, MS - General Surgery",Bariatric Surgeon,25 years experience overall,"Sarita Vihar,",Delhi,100%,2 Patient Stories,₹2000
Dr. S S Bhagat,"MBBS, MS - General Surgery",Bariatric Surgeon,39 years experience overall,"Patparganj,",Delhi,100%,,₹600
Dr. Bhoopendra Prasad,"MBBS, MS - General Surgery",Bariatric Surgeon,20 years experience overall,"Vasant Kunj,",Delhi,,,₹1000
Dr. Randeep Wadhawan,"MBBS, MD - Rheumatology",Bariatric Surgeon,33 years experience overall,"Dwarka Sector 6,",Delhi,100%,6 Patient Stories,₹1100
Dr. Jatinder Juneja,"MBBS, DM - Clinical Immunology",Rheumatologist,36 years experience overall,"Bali Nagar,",Delhi,90%,25 Patient Stories,₹900
Dr. Ved Chaturvedi,"MBBS, DNB - General Medicine, FRCP - Rheumatology",Rheumatologist,45 years experience overall,"Old Rajendra Nagar,",Delhi,96%,7 Patient Stories,₹2000
Dr. Shaloo Bhasin Gagneja,"MD - General Medicine, MBBS, DM - Clinical Immunology",Rheumatologist,17 years experience overall,"Janakpuri,",Delhi,99%,51 Patient Stories,₹600
Dr. Sonal Mehra,"MBBS, DM - Rheumatology, MD - General Medicine",Rheumatologist,16 years experience overall,"Janakpuri,",Delhi,98%,176 Patient Stories,₹1500
Dr. Aarti Sharma,"DM - Rheumatology, MD - Medicine, MBBS",Rheumatologist,16 years experience overall,"Paschim Vihar,",Delhi,100%,1 Patient Story,₹800
Dr. Meha Sharma,"MBBS, MD - Medicine, DNB - Rheumatology",Rheumatologist,14 years experience overall,"Dwarka Sector 12,",Delhi,92%,8 Patient Stories,₹700
Dr. Priyanka Kharbanda,"MBBS, MD - General Medicine, Fellowship in Rheumatology",Rheumatologist,22 years experience overall,"Rajouri Garden,",Delhi,79%,5 Patient Stories,₹1000
Dr. Ashish Sharma,"BDS, MDS - Prosthodontics",Rheumatologist,11 years experience overall,"Dilshad Garden,",Delhi,100%,5 Patient Stories,₹600
Dr. Priyanka Deshpande,"BDS, FICOI",Dentist,19 years experience overall,"Borivali West,",Mumbai,99%,79 Patient Stories,₹600
Dr. Uday B Shetty,"BDS, MDS - Prosthodontist And Crown Bridge",Dentist,37 years experience overall,"Dadar West,",Mumbai,98%,171 Patient Stories,₹500
Dr. Shantanu Jambhekar,BDS,Dentist,15 years experience overall,"Parel,",Mumbai,99%,87 Patient Stories,₹500
Dr. Sandhya Biyani,"BDS, Certificate of Oral Implantology",Dentist,12 years experience overall,"Bandra West,",Mumbai,99%,172 Patient Stories,₹500
Dr. Chitrang Thaker,BDS,Dentist,22 years experience overall,"Goregaon East,",Mumbai,97%,270 Patient Stories,₹300
Dr. Ajay Thaker,BDS,Dentist,26 years experience overall,"Mulund West,",Mumbai,99%,655 Patient Stories,₹300
Dr. Garima Manish Ranade,"BDS, MDS - Oral Medicine and Radiology",Dentist,23 years experience overall,"Vileparle East,",Mumbai,100%,22 Patient Stories,₹300
Dr. Sujata Surana,BDS,Dentist,13 years experience overall,"Kandivali East,",Mumbai,100%,1 Patient Story,₹500
Dr. Upasana Gosalia,"BDS, MDS - Prosthodontics",Dentist,13 years experience overall,"Ghatkopar East,",Mumbai,100%,249 Patient Stories,₹350
Dr. Karanjit Singh Chaudhary,"DGO, DNB - Obstetrics & Gynecology, MBBS",Dentist,18 years experience overall,"Chembur,",Mumbai,100%,160 Patient Stories,₹800
Dr. Shreedevi Tanksale,"MS - Obstetrics & Gynaecology, MBBS",Gynecologist/Obstetrician,14 years experience overall,"Vileparle East,",Mumbai,99%,121 Patient Stories,₹1000
Dr. Tejal Poddar,"MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",Gynecologist/Obstetrician,11 years experience overall,"Opera House,",Mumbai,98%,86 Patient Stories,₹1000
Dr. Parzan Mistry,"MBBS, DGO",Gynecologist/Obstetrician,8 years experience overall,"Nana Chowk,",Mumbai,100%,25 Patient Stories,₹1000
Dr. Priti Nandanwar,"MBBS, MS - Obstetrics & Gynaecology",Gynecologist/Obstetrician,30 years experience overall,"Kurla East,",Mumbai,98%,26 Patient Stories,₹800
Dr. Bhumika Rai,MD - Obstetrics & Gynaecology,Gynecologist/Obstetrician,9 years experience overall,"Vikhroli East,",Mumbai,100%,10 Patient Stories,₹700
Dr. Punam Solanki,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, DGO",Gynecologist/Obstetrician,13 years experience overall,"Andheri West,",Mumbai,86%,11 Patient Stories,₹900
Dr. Vandana Bansal,"MBBS, DGO, DNB - Obstetrics & Gynecology",Gynecologist/Obstetrician,29 years experience overall,"Santacruz West,",Mumbai,70%,7 Patient Stories,₹1500
Dr. Anuradha Narayanan,"MBBS, DNB - Obstetrics & Gynecology",Gynecologist/Obstetrician,16 years experience overall,"Chembur,",Mumbai,88%,4 Patient Stories,₹1000
Dr. Sapna Khare,"MBBS, DGO, MRCOG(UK)",Gynecologist/Obstetrician,14 years experience overall,"Goregaon West,",Mumbai,100%,67 Patient Stories,₹800
Dr. Nutan Hegde,"MD - Pediatrics, MBBS",Gynecologist/Obstetrician,19 years experience overall,"Dadar West,",Mumbai,97%,64 Patient Stories,₹900
Dr. Punit Vinod Garg,"MBBS, MD - Pediatrics",Pediatrician,8 years experience overall,"Malad West,",Mumbai,100%,3 Patient Stories,₹800
Dr. Samantha Castellino,"MBBS, MD - Pediatrics, DNB - Paediatrics",Pediatrician,12 years experience overall,"Andheri East,",Mumbai,100%,103 Patient Stories,₹900
Dr. Bhupendra S Avasthi,"MBBS, MD - Pediatrics",Pediatrician,42 years experience overall,"Santacruz West,",Mumbai,92%,11 Patient Stories,₹2000
Dr. Jesal Seth,"MBBS, Diploma in Child Health (DCH)",Pediatrician,23 years experience overall,"Mulund West,",Mumbai,100%,1 Patient Story,₹1300
Dr. Sameer Sadawarte,"MBBS, MD - Pediatrics",Pediatrician,22 years experience overall,"Mulund West,",Mumbai,100%,2 Patient Stories,₹1300
Dr. Vishal Sachade,"Diploma in Child Health (DCH), MBBS",Pediatrician,20 years experience overall,"Borivali West,",Mumbai,100%,5 Patient Stories,₹600
Dr. Pallavi Deshmukh Gaikwad,"MBBS, MD - Pediatrics",Pediatrician,12 years experience overall,"Kandivali East,",Mumbai,86%,2 Patient Stories,₹700
Dr. Rajen H Doshi,"MBBS, MD - Pediatrics",Pediatrician,33 years experience overall,"Mulund West,",Mumbai,61%,12 Patient Stories,₹1300
Dr. Deepak K. Jaybhaye,"MBBS, MD - Pediatrics, Diploma in Child Health (DCH)",Pediatrician,9 years experience overall,"Bhandup West,",Mumbai,100%,,₹500
Dr. Shobha Sharma,"MBBS, DNB - Orthopedics/Orthopedic Surgery, MS - Orthopaedics",Pediatrician,43 years experience overall,"Santacruz West,",Mumbai,50%,,₹1500
Dr. Ashish Agarwal,"MBBS, MS - Orthopaedics",Orthopedist,33 years experience overall,"Matunga,",Mumbai,97%,42 Patient Stories,₹1500
Dr. Satyen Mehta,"MBBS, MS - Orthopaedics",Orthopedist,22 years experience overall,"Chembur,",Mumbai,97%,74 Patient Stories,₹1500
Dr. Samarjit S. Bansal,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",Orthopedist,16 years experience overall,"Borivali,",Mumbai,99%,56 Patient Stories,₹600
Dr. Atul Patil,"MBBS, DNB - Orthopedics/Orthopedic Surgery, Diploma in Orthopaedics",Orthopedist,11 years experience overall,"Mulund East,",Mumbai,97%,124 Patient Stories,₹800
Dr. Uday M Pawar,"MS - Orthopaedics, MBBS",Orthopedist,22 years experience overall,"Parel,",Mumbai,96%,19 Patient Stories,₹1850
Dr. Bhavin Shial,"MBBS, DNB - Orthopedics/Orthopedic Surgery, MS - Orthopaedics",Orthopedist,21 years experience overall,"Andheri West,",Mumbai,97%,25 Patient Stories,₹2000
Dr. Pradeep Moonot,"MBBS, MS - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",Orthopedist,27 years experience overall,"Santacruz West,",Mumbai,100%,7 Patient Stories,₹2200
Dr. Utkarsh Pawar,"MBBS, Diploma in Orthopaedics, FCPS - Orthopedic",Orthopedist,10 years experience overall,"Andheri West,",Mumbai,100%,18 Patient Stories,₹1500
Dr. Shantanu  K Kundgir,"MBBS, MS - Orthopaedics",Orthopedist,19 years experience overall,"Bandra West,",Mumbai,90%,36 Patient Stories,₹1500
Dr. Shreedhar Archik,"MBBS, DVD",Orthopedist,35 years experience overall,"Parel,",Mumbai,93%,58 Patient Stories,₹2350
Dr. Shareefa Chause,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 years experience overall,"Chembur,",Mumbai,100%,1 Patient Story,₹1200
Dr. Joshika Bhandary,"FCPS - Dermatology, Venereology & Leprosy, DVD, MBBS",Dermatologist,11 years experience overall,"Andheri West,",Mumbai,100%,1 Patient Story,₹900
Dr. Ujjvala Jadhav,"DNB - Dermatology & Venereology, Diploma in Dermatology, MBBS",Dermatologist,23 years experience overall,"Goregaon East,",Mumbai,93%,108 Patient Stories,₹1000
Dr. Minal M Thamke Pawar,"MBBS, MD - Dermatology",Dermatologist,16 years experience overall,"Mulund East,",Mumbai,99%,43 Patient Stories,₹800
Dr. Rahul Shetty,"MBBS, DVD",Dermatologist,11 years experience overall,"Vileparle West,",Mumbai,97%,19 Patient Stories,₹800
Dr. Apeksha Chaudhari,"MBBS, DDVL",Dermatologist,8 years experience overall,"Marol,",Mumbai,98%,53 Patient Stories,₹800
Dr. Suraj Shetty,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,13 years experience overall,"Andheri West,",Mumbai,98%,61 Patient Stories,₹900
Dr. Geoffrey Vaz,"DDVL, MBBS",Dermatologist,10 years experience overall,"Versova,",Mumbai,100%,10 Patient Stories,₹1000
Dr. Gauri Patil,"MBBS, DNB - Dermatology & Venereology",Dermatologist,11 years experience overall,"Dadar,",Mumbai,91%,9 Patient Stories,₹700
Dr. Raashi Mehta,"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",Dermatologist,12 years experience overall,"Peddar Road,",Mumbai,96%,49 Patient Stories,₹1500
Dr. Naushin Qureshi   (Physiotherapist),BSc - Physiotherapy,Physiotherapist,6 years experience overall,"Santacruz West,",Mumbai,100%,21 Patient Stories,₹2000
Dr. Pooja Vora Jhonsa   (Physiotherapist),BPTh/BPT,Physiotherapist,21 years experience overall,"Ghatkopar East,",Mumbai,100%,80 Patient Stories,₹700
Dr. Aparna Nair   (Physiotherapist),BPTh/BPT,Physiotherapist,3 years experience overall,"Powai,",Mumbai,100%,7 Patient Stories,₹500
Dr. Priya Karande   (Physiotherapist),BPTh/BPT,Physiotherapist,8 years experience overall,"Parel,",Mumbai,100%,22 Patient Stories,₹500
Dr. Aishwarya Bargode   (Physiotherapist),"MPTh/MPT - Neurological Physiotherapy, BPTh/BPT",Physiotherapist,6 years experience overall,"Andheri West,",Mumbai,100%,2 Patient Stories,₹800
Dr. Disha Bamboli   (Physiotherapist),BPTh/BPT,Physiotherapist,9 years experience overall,"Jogeshwari West,",Mumbai,100%,48 Patient Stories,₹500
Dr. Zahra Hussain   (Physiotherapist),BPTh/BPT,Physiotherapist,10 years experience overall,"Colaba,",Mumbai,98%,40 Patient Stories,₹350
Dr. Neelu Jain   (Physiotherapist),"BPTh/BPT, MSc. - Physiotherapy",Physiotherapist,32 years experience overall,"Kandivali West,",Mumbai,99%,225 Patient Stories,₹600
Dr. Ketaki Shingare   (Physiotherapist),"Masters of Physiotheraphy, BPTh/BPT",Physiotherapist,12 years experience overall,"Ghatkopar East,",Mumbai,100%,1 Patient Story,₹1000
Dr. Kinal Kothari   (Physiotherapist),"MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",Physiotherapist,7 years experience overall,"Ghatkopar,",Mumbai,100%,10 Patient Stories,₹600
Dr. Parzan Mistry,"MBBS, DNB - Obstetrics & Gynecology",Infertility Specialist,8 years experience overall,"Nana Chowk,",Mumbai,100%,25 Patient Stories,₹1000
Dr. Sapna Khare,"MBBS, DGO, MRCOG(UK)",Infertility Specialist,14 years experience overall,"Goregaon West,",Mumbai,100%,67 Patient Stories,₹800
Dr. Nutan Hegde,"MS - Obstetrics & Gynaecology, MBBS",Infertility Specialist,19 years experience overall,"Dadar West,",Mumbai,97%,64 Patient Stories,₹900
Dr. Milind Wankhede,"MBBS, DGO, MD - Obstetrics & Gynaecology",Infertility Specialist,18 years experience overall,"Kandivali East,",Mumbai,100%,,₹1000
Dr. Richa Jagtap,"MBBS, DGO, FCPS - Mid. & Gynae",Infertility Specialist,21 years experience overall,"Kurla West,",Mumbai,100%,,Free Consultation
Dr. Shruti Thar,"MBBS, MS - Obstetrics & Gynaecology",Infertility Specialist,11 years experience overall,"Mulund West,",Mumbai,100%,9 Patient Stories,₹1000
Dr. Divya A Sahetya,"DNB - Obstetrics & Gynecology, DGO, MBBS, Diploma in Advanced Endoscopic Gynae Surgery, Fellowship in Reproductive Medicine",Infertility Specialist,11 years experience overall,"Andheri West,",Mumbai,100%,17 Patient Stories,₹1000
Dr. Varun H Shah,MD - Obstetrics & Gynaecology,Infertility Specialist,14 years experience overall,"Borivali West,",Mumbai,100%,143 Patient Stories,₹1000
Dr. Harshika Bavishi,"MBBS, DNB - Obstetrics & Gynecology",Infertility Specialist,36 years experience overall,"Chembur East,",Mumbai,96%,51 Patient Stories,₹1000
Dr. Jay Mehta,"MBBS, MS - Ophthalmology",Infertility Specialist,11 years experience overall,"Ghatkopar East,",Mumbai,85%,8 Patient Stories,₹3000
Dr. Vidhan C Doshi,"MS - Ophthalmology, MBBS",Ophthalmologist,12 years experience overall,"Andheri East,",Mumbai,99%,175 Patient Stories,₹800
Dr. Shradha Goel,"MBBS, DNB - Ophthalmology",Ophthalmologist,20 years experience overall,"Andheri West,",Mumbai,99%,170 Patient Stories,₹1200
Dr. Rushabh Shah,"MS - Ophthalmology, DNB - Ophthalmology, MBBS, Fellow of the Royal College of Ophthalmologists of UK (FRCOphth. UK)",Ophthalmologist,16 years experience overall,"Girgaon,",Mumbai,96%,40 Patient Stories,₹1000
Dr. Devanshi Shah,"MBBS, DOMS",Ophthalmologist,11 years experience overall,"Ghatkopar East,",Mumbai,98%,36 Patient Stories,₹1000
Dr. Pratima S  Wagh,"MBBS, MS - Ophthalmology",Ophthalmologist,27 years experience overall,"Kandivali,",Mumbai,100%,14 Patient Stories,₹600
Dr. Rishika Chauhan,"MS - Ophthalmology, MBBS",Ophthalmologist,13 years experience overall,"Ghatkopar West,",Mumbai,100%,170 Patient Stories,₹1500
Dr. Minali Goyal,"MBBS, DOMS",Ophthalmologist,35 years experience overall,"Worli,",Mumbai,95%,36 Patient Stories,₹800
Dr. Sangita B Manek,"MBBS, DNB - Ophthalmology",Ophthalmologist,24 years experience overall,"Bhandup West,",Mumbai,100%,29 Patient Stories,₹700
Dr. Mikeen Shah,"DO, MBBS",Ophthalmologist,13 years experience overall,"Andheri East,",Mumbai,94%,15 Patient Stories,₹600
Dr. Shivani Nirav Agrawat,"MBBS, MS - General Surgery, MCh - Urology",Ophthalmologist,14 years experience overall,"Borivali East,",Mumbai,100%,47 Patient Stories,₹500
Dr. M S Kothari,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",Urologist,34 years experience overall,"Mahim,",Mumbai,,,₹1300
Dr. Samir S Shirodkar,"MBBS, MS - General Surgery, MCh - Urology",Urologist,28 years experience overall,"Mahim,",Mumbai,,,₹1800
Dr. Abhishek M Shah,"MS - General Surgery, MBBS, MCh - Urology",Urologist,14 years experience overall,"Mahim,",Mumbai,100%,1 Patient Story,₹1800
Dr. Prakash L Tejwani,"MBBS, MS - General Surgery, MCh - Urology",Urologist,18 years experience overall,"Mira Road,",Mumbai,97%,136 Patient Stories,₹1000
Dr. Ramesh Mahajan,"MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery, MBBS, FICS, MS - General Surgery",Urologist,27 years experience overall,"Mulund West,",Mumbai,90%,13 Patient Stories,₹2000
Dr. Anand Utture,"MCh - Urology, MS - General Surgery, MBBS",Urologist,27 years experience overall,"Mahim,",Mumbai,86%,38 Patient Stories,₹1300
Dr. Anirudhha Gokhale,"MCh - Urology/Genito-Urinary Surgery, DNB - Urology/Genito - Urinary Surgery",Urologist,17 years experience overall,"Borivali West,",Mumbai,92%,16 Patient Stories,₹1000
Dr. Varun Sanjay Gunavanthe,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",Urologist,8 years experience overall,"Santacruz West,",Mumbai,100%,5 Patient Stories,₹2200
Dr. Anjali Bhosle,"MBBS, MS - General Surgery, MCh - Urology",Urologist,27 years experience overall,"Mulund West,",Mumbai,95%,4 Patient Stories,₹2000
Dr. Nasreen Gite,"MBBS, M.D. (Psychiatry)",Urologist,8 years experience overall,"Chembur,",Mumbai,100%,1 Patient Story,₹1200
Dr. Payal Sharma Kamath,"M.D. (Psychiatry), MBBS, DPM (Psychiatry)",Psychiatrist,11 years experience overall,"Borivali East,",Mumbai,96%,154 Patient Stories,₹1500
Dr. Priyadarshani Jain,"MBBS, M.D. (Psychiatry)",Psychiatrist,17 years experience overall,"Andheri East,",Mumbai,99%,118 Patient Stories,₹3000
Dr. Austin Fernandes,"DPM (Psychiatry), MBBS",Psychiatrist,9 years experience overall,"Powai,",Mumbai,71%,6 Patient Stories,₹1600
Dr. Sneha Naik Samant,"MBBS, M.D. (Psychiatry)",Psychiatrist,12 years experience overall,"Borivali,",Mumbai,99%,57 Patient Stories,₹1200
Dr. Smit JP,"MBBS, DPM (Psychiatry), DNB - Psychiatry",Psychiatrist,2 years experience overall,"Borivali East,",Mumbai,100%,1 Patient Story,₹1200
Dr. Dean Creado,"MBBS, DPM (Psychiatry)",Psychiatrist,18 years experience overall,"Bandra West,",Mumbai,100%,,₹1800
Dr. Jyoti Maheshwari,"MBBS, M.D. (Psychiatry), DM - Addiction Psychiatry",Psychiatrist,31 years experience overall,"Andheri West,",Mumbai,92%,6 Patient Stories,₹2500
Dr. Sudheendra Huddar,"MBBS, DPM (Psychiatry)",Psychiatrist,4 years experience overall,"Bandra West,",Mumbai,,,₹1200
Dr. Shyam Mithiya,"MBBS, M.D. (Psychiatry)",Psychiatrist,15 years experience overall,"Ghatkopar West,",Mumbai,96%,528 Patient Stories,₹1750
Dr. Ankita Mishra,"DM - Cardiology, MD - Medicine, MBBS",Psychiatrist,15 years experience overall,"Dadar,",Mumbai,97%,26 Patient Stories,₹3000
Dr. Ashish Agrawal,"MBBS, DNB - Cardiology, DNB - General Medicine",Cardiologist,19 years experience overall,"Mulund West,",Mumbai,98%,173 Patient Stories,₹1500
Dr. Kunal Praful Sinkar,"MBBS, MD - Medicine, DM - Cardiology",Cardiologist,5 years experience overall,"Dadar West,",Mumbai,100%,9 Patient Stories,₹1500
Dr. Praveen Kulkarni,"DM - Cardiology, MBBS",Cardiologist,20 years experience overall,"Parel,",Mumbai,95%,18 Patient Stories,₹1850
Dr. Ankur Phatarpekar,"MD - General Medicine, MBBS, DM - Cardiology",Cardiologist,18 years experience overall,"Mahim,",Mumbai,100%,33 Patient Stories,₹1800
Dr. Ganesh Manudhane,"MBBS, MD - General Medicine, DM - Cardiology",Cardiologist,11 years experience overall,"Goregaon,",Mumbai,,,₹1500
